职位名称,职位所属部门名称,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑（福利待遇）,岗位描述,公司名称,公司行业,公司性质,公司发展阶段（融资阶段）,公司规模,公司主页链接,发布时间,发布网站,信息来源
用户产品（筛搜策略及算法方向）,美团平台及酒旅事业群,上海市,全职,5年,本科,25K-40K,NULL,NULL,NULL,"岗位职责：
1、根据不同终端用户特征，挖掘场景特性及需求，制定业务推荐策略；
2、业务模块产品需求从挖掘到产出及上线的完整流程，与研发、运营、市场及合作部门沟通及推进业务；
3、协同运营／BI／平台等团队，优化算法，对产品用户做精细化运营；
4、探索同类竞品的推荐策略及算法，对业务算法制定分析、测试、调优策略，并探索创新点。
任职要求：
1、逻辑思维强，数据敏感性高，目标导向；
2、3年以上产品经理从业经验，有策略、算法产品经验背景；
3、本科以上学历
4、自驱力强，对新鲜事物嗅觉敏感，且有好奇心；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/13,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=236061648085389628
大数据开发工程师-外卖,外卖配送事业群,北京市,全职,3年,本科,25K-50K,NULL,NULL,NULL,"职位描述：
负责大数据产品研发，实现分布式数据采集和大数据分析计算
配合数据产品经理完成数据应用开发需求，为运营决策优化提供数据产品支持
任职资格：
掌握hadoop、hive、hbase、Storm、spark、flink、kylin一种或者几种平台的开发经验，并对其架构有一定的理解
掌握数据仓库、ETL开发相关技术
掌握JAVA、Python或Scala语言之一，对数据结构和算法设计有较为深刻的理解
熟悉Linux操作系统，对shell编程有一定了解
很强的学习、分析和解决问题能力，良好的团队意识和协作精神，有较强的内外沟通能力",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/13,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=188882202412269599
资深数据挖掘工程师/专家-外卖,外卖配送事业群,北京市,全职,3年,本科,25K-50K,NULL,NULL,NULL,"职位描述：
1.负责用户和商户相关的数据挖掘和分析，用户定向相关技术研发；
2.负责评论数据的挖掘和知识图谱的研发；
3.负责营销相关的策略研发；
任职要求：
1.在以下方面有较为丰富的实战经验：1）自然语言处理； 2）机器学习；3）运筹学及优化；
2.有大数据处理分析经验，熟悉Hadoop, Hive, Spark等大数据处理平台；
3.至少精通Java语言、python、或者Scala之一；
4.有广告或推荐相关经验者优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/13,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=188879245182943312
数据平台 - Spark/Hadoop工,技术工程及基础数据平台,北京市,全职,1年,本科,20K-40K,NULL,NULL,NULL,"工作职责：

- Spark/YARN/HDFS//HBase/Kylin/Presto/Hive 的性能改进、功能扩展、故障分析；
- 不断解决规模增长带来的技术和业务问题，确保Hadoop 数据平台每天上午8点完成重要数据的计算。


职位要求：

- 理工类211、985院校本科及以上学历；
- 对技术有着永无止境的追求，自认为是技术Geek，具备很强的问题解决能力；
- 熟悉Hadoop生态系统开源项目，至少精读过其中某一个的源码，对大规模数据处理具有独到的理解，有patch源代码经验者优先；
- 1年以上 Hadoop/Hive 生产环境工作经验；
- 有团队管理经验者优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/10,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=234914003751325898
风控运营分析组长,技术工程及基础数据平台,上海市,全职,3年,本科,10K-15K,NULL,NULL,NULL,"岗位描述：
1、带领反作弊审核小组
2、负责点评、交易真实性的审核，分析用户行为，挖掘水军、黄牛作弊特征。
3、负责快速响应跟进处理作弊问题，发现漏过和误杀bad case，并提出优化建议。
4、持续优化运营流程，提升运营效率。
5、协调客服、销售团队解答会员以及商户的反馈，并能持续优化，提升满意度。

岗位要求：
1、有较强的逻辑思维能力，认真细心，能自我激励
2、优秀的沟通能力，善于跨部门沟通
3、善于从日常工作中发现问题，对数据的敏感度较强，对通过数据探索未知、总结规律有兴趣，Excel操作熟练，会SQL就更好了
4、能适应周末在家值班（一个月1~2天，有调休）
5、有小组管理经验的优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=210562448670167081
大数据安全研发专家,技术工程及基础数据平台,上海市,全职,3年,本科,20K-40K,NULL,NULL,NULL,"职位描述：
负责安全流量与数据分析平台开发工作，包括不限于流量监测，数据安全平台，主被动扫描平台等

任职资格：
1. 精通Java或python 等语言。
2. 擅长使用开源框架，比如：elk、kafka、storm、spark等大数据处理框架，掌握实现原理。
3. 擅长使用机器学习框架TensorFlow，掌握其原理, 熟悉常见的机器学习算法：神经网络，SVM等
4. 熟悉回归分析模型、关联规则挖掘、分类和聚类算法、协同过滤算法等数据统计模型和挖掘算法。
5. 有互联网高并发相关经验者优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232396003196079359
数据分析-金融服务平台,金融服务平台,北京市,全职,3年,本科,20K-40K,重点大学数学、统计、计算机软件、管理信息系统、运筹学等相关专业本科或以上学历,NULL,NULL,"-重点大学数学、统计、计算机软件、管理信息系统、运筹学等相关专业本科或以上学历；
-3年以上工作经验，具有互联网或移动支付行业经验者优先；
-具有良好的商业敏感度和数据分析技能，能够进行高效而实际的分析方法以解决各类的业务问题；
-熟悉 SQL和Hive，熟悉Excel软件，熟悉数据挖掘的常用算法，拥有海量数据处理和挖掘经验者优先；
-具有较强的逻辑思维、清晰的沟通表达、项目管理及组织协调能力；
-具有优秀的团队合作精神；诚实、勤奋、严谨；有独立思考的能力。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=226165152693404661
高级调研分析员,零售事业部,北京市,全职,3年,本科,15K-30K,NULL,NULL,NULL,"职务描述
1. 依据业务需求，开展调研项目的实施，监督，把控，对产出的有效性，洞察力，可用性负责，成果需有实操性。
 1）完成针对外部市场和用户方向的调研项目，包括不限于城市布局规划分析，品牌追踪，专项调研，营销效果大数据创新分析等。
 2）推进消费者理解定性研究，基于洞察输出可落地发现，支持业务部门运营策略和市场部营销策略的选择应用
 3）凭借内部调研系统，完成针对内人群的专项定量调研项目管理，数据分析，报告撰写。

2.与内外部数据分析岗位对接，整合内外部数据，开展多源数据洞察挖掘。基于长期研究成果积累，定期对成果体系化的梳理，提取和解读，支持内外部业务应用。

3.借助第三方数据资源或案头研究，定期分享提供行业趋势相关研究

技能要求
1.知名咨询公司，调研公司研究员-高级研究员级别，1-3年相关经验
2.仅有定量研究经验者，对定量调研行业中的多种定量调研基础方法，统计学工具和模型熟练应用；仅有定性研究经验者，对深访，座谈会，浸入式访谈等多种方法及访问技巧熟练应用，并对访问数量有一定要求。定量研究与定性研究经验均有者优先。
3.可以独立操作SPSS，EXCEL
4.零售相关经验者优先
5.曾服务过互联网公司客户，或在互联网公司工作者优先
6.对调研洞察敏感，思维活跃，主动学习，独立思考，沟通能力强
7.对互联网行业感兴趣，对与数据相关的，市场营销职业发展路线感兴趣",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=234523193155309591
风控算法工程师,技术工程及基础数据平台,北京市,全职,2年,本科,25K-40K,NULL,NULL,NULL,"为美团点评风控产品提供智能、高效的风险防控能力，通过机器学习、数据挖掘、人工智能技术增强业务安全的防控效率，提升整体交易质量，打击作弊、刷单、套现、爬取等行为。


工作职责：
1、基于海量用户行为数据，使用数据挖掘模型和机器学习算法，对各种不良行为的识别和防控，如：营销作弊，恶意刷单，非法套现，异常账户、异常行为等；
2、模型算法开发，在风控和业务领域中落地并产生实际价值，提升用户的安全服务体验。


岗位要求：
1、精通数据挖掘与机器学习算法，在搜索，推荐和广告等领域有丰富经验，对算法原理、实现、优化有较深入了解；熟悉以下任一算法领域均可
   - 熟悉文本挖掘算法，如文本分类、聚类、语言模型、语义分析、情感分析等NLP相关算法；
   - 声音、图像识别和检测算法，如图像分类、视频检测、OCR、声音识别算法等，有深度学习背景的优先；
   - 用户行为模型，熟练掌握各种行为特征处理、特征选择和建模的方法；
2、精通至少一种开发语言，如：Java、C++、Python、R等，能熟练使用SQL进行数据处理；
3、优秀的沟通表达能力和组织协调能力，能够快速掌握工作领域的业务和技术，能承受必要的工作压力。
4、有风控相关工作经历者优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231647973000137698
高级数据分析,餐饮生态平台,上海市,全职,3年,本科,10K-20K,NULL,NULL,NULL,"工作职责：

1. 深入了解业务，构建业务监测指标体系，评估业务进展、剖析业务问题，提供数据分析和决策支持

2. 对商户、用户行为进行数据分析，发现现象和规律，挖掘业务问题与路径机会，推进业务改进

3. 通过数据报告、产品、模型等多种输出手段沉淀分析思路与框架，提炼数据产品需求，推动数据产品的落地

任职要求：

1. 知名重点院校本科或以上学历，3-5年及以上互联网数据分析相关经验，拥有出色的数据分析、结构化思维、归纳与沟通能力

2. 精通SQL，熟悉互联网常见的分析工具和数据分析方法论，有丰富的统计、预测和建模的经验

3. 业务敏感度强，自驱力强，能独立开展工作",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=228450999845308103
高级商业分析.,餐饮生态平台,上海市,全职,3年,本科,10K-20K,NULL,NULL,NULL,"""岗位职责：
1、主要从事点餐与秒付的业务分析、经营规划相关工作
2、建立业务数据分析框架、推动数据产品开发，定期输出日、周、月维度的数据报表；3、从数据中分析发现问题、剖析原因，并提出相应的解决策略
4、目标与预算规划，分渠道目标设定、团队激励考核
5、与产品、技术线协同合作，指导优化业务流程
5、市场与竞争分析，包括但不限于定期更新竞对数据、执行市场调研等工作
6、创新业务模式与试点项目
任职要求：
1、知名重点院校本科或者以上学历；
2、3-5年工作经验，有互联网战略分析、数据洞察、经营规划与项目管理经验者优先；
3、有数据挖掘与统计分析相关工作经历者优先；
4、良好的逻辑思维能力，优秀的问题分析、战略思考能力，对解决具有挑战性问题充满激情；
5、必须具备独立地开展工作的能力，有强担当与自驱力；
6、良好的沟通能力，具有团队协作精神
""",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=191349672536522797
数据产品经理（点餐事业部）,餐饮生态平台,上海市,全职,3年,本科,20K-30K,NULL,NULL,NULL,"岗位职责：
         1、基于公司业务数据,挖掘数据价值，负责各类画像标签、数据源整合，精准营销和平台类数据产品;
         2、能够从业务需求出发，对业务数据进行深挖分析，发现其中的用户和商业价值，寻找产品切入点；
         3.主动思考数据产品使用过程中的问题，并通过各种渠道收集用户反馈信息，规划产品升级迭代方案；
岗位要求：
        独立负责过大数据相关产品，熟悉用户画像，商户画像等标签体系建设
        1、有数据管理能力，有系统需求整理、分析、测试经验，标签建设经验为佳
        2、具有良好的逻辑思维与系统分析能力，有良好的产品运营能力，能够高效地、基于数据、事实和逻辑分析做出重要性和可行性的判断；
        3、具有全局思考能力和出色的设计能力和细节敏感；具有良好的团队协作意识、综合沟通能力和个人影响力",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=181679829315043392
JAVA高级研发工程师-数据方向,餐饮生态平台,上海市,全职,3年,本科,20K-35K,计算机相关专业,NULL,NULL,"【任职要求】
1. 本科及以上学历，计算机相关专业； 3年以上工作经验；
2. 深入使用Java，熟悉掌握常用的Java类库及框架，如多线程、并发处理、I/O与网络通讯，Spring、MyBatis等；
3. 对Java虚拟机有较深了解，有运行态JVM分析及调优的实际经验，有Linux下的开发或运行环境操作经验
4. 熟悉MySQL数据库以及优化方法，了解常用的NoSQL产品，如Redis，MongoDB，Memcache；
5. 熟悉并使用过各种大数据相关框架或组件优先，如Kafka、Storm/JStorm、Hadoop/Spark、Hive、HBase等；
6. 有分布式系统、实时计算开发经验的优先;
7. 具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
8. 具有良好的沟通、团队协作、计划和主动性思考的能力，在互联网或大数据业界有一定影响力公司的工作经验者优先

工作职责：
-参与核心业务系统的技术规划和业务规划工作，深入理解业务需求，抽象系统模型，进行系统设计及开发工作；
-在保障系统的稳定性，可维护性的基础上，快速响应业务需求；
-指导低级别工程师工作和成长。
-建设基于大数据平台的应用系统。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=198227187021742123
高级数据产品经理,广告平台,上海市,全职,5年,本科,15K-30K,NULL,NULL,NULL,"岗位职责：
1、 熟练掌握平台内部各类数据流转的详细定义和规则；
2、 以数据为基础和驱动力，针对产品近期及中长期目标制定基于商户、业务、运营等合作部门的相关规划，并负责推动落实具体目标的达成；
3、 负责数据产品的需求整理，原型设计，上线和迭代；
4、 负责在项目推进过程中的跨部门协调沟通工作，能够协调各资源以确保产品顺利发展 ；
 
任职要求：
1、本科以上学历；
2、3年以上数据分析/产品设计工作经验，侧重数据挖掘整理、数据系统、数据产品；
3、有较强的产品运营思路；
4、沟通高效、擅长团队内外协调，有力推动，优秀的项目管理能力；
5、O2O商业模式及业务知识和经验优先；
6、互联网广告知识和经验优先；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=197978421912535065
美团出行-高级商业分析员/商业分,美团出行,北京市,全职,不限,本科,10K-20K,统计学、应用数学、计算机等专业优先,NULL,NULL,"工作职责：
1、理解公司业务模式及业务发展方向，制定整体的销售预算，对各块费用做ROI复盘及分析，并对业务的风险点提出预警及改进措施；
2、根据业务方向，设计符合业务导向的绩效考核方案、目标制定，并保证政策得到有效的上传下达；
3、根据每月奖金包，建立并不断优化奖金测算模型，确保城市团队总奖金在预算范围内
4、参与各项商业分析及经营分析工作，完成特定细分市场及竞争策略的分析

职位要求：
1、专业不限，1年以上工作经验，具备销售管理、流程管控、供应链管理等经验优先；
2、大学本科及以上学历，统计学、应用数学、计算机等专业优先；
3、熟练掌握EXCEL，了解SQL语言优先；
4、工作计划性强，有极强的主动性和自驱力；
5、考虑问题全面、认真、细致，有高度责任心；
6、高效的沟通能力、执行能力和跨部门组织协调能力。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=201895527145635848
美团出行-经营分析经理/高级经理,美团出行,北京市,全职,1年,本科,10K-20K,NULL,NULL,NULL,"工作职责：
1、基于对行业和自身情况，提出业务规划和发展策略；
2、根据业务紧急程度进行跨区域和职能合作；
3、建立系统来监控和推动策略的顺利传达；
4、积极支持高层管理做出各种专题分析。

职位要求：
1、具有1年以上管理咨询、战略咨询或者相关经验；
2、极强的组织协调能力、沟通能力和团队协作能力；
3、拥有敏锐的商务嗅觉，可以对面临千变万化的问题提出解决方案；
4、好奇心和自我激励：能够主动发现问题并解决问题。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=187737217650475098
数据分析主管,服务体验平台部,北京市,全职,5年,本科,12K-22K,NULL,NULL,NULL,"职位描述：
1. 基于美团点评客服平台部的现状及未来，搭建多维度的服务数据分析框架，指导团队完成监控和分析工作，对数据波动进行原因追溯，给出合理解释，并通过适当的方式进行汇报呈现，推动相关团队改善服务体验；
2. 指导团队面向与产品功能、客户分析相关的专题性问题，通过多种调研方式，深入了解分析诉求，搭建对应的分析模型，给出有针对性的系统性的解答；
3. 沉淀分析思路，利用工具搭建数据报表或负责建设分析用数据产品应用，推动报表体系和统计体系的改进；
4. 和产品、技术、运营、服务等团队紧密合作，共同达成用户与商户体验优化目标；
5. 辅导和培养团队提升数据分析专业能力，引导数据分析团队成长。


职位要求：
1. 大学本科或以上学历；
2. 有2年及2年以上团队管理经验 
3. 有扎实的数据统计和数据分析专业知识
4. 4年或以上数据分析相关经验；
5. 熟练使用SQL读取数据，掌握一种或多种分析工具软件（SAS、R、Python等）
6. 数据敏感，逻辑性强，反应快速敏捷；
7. 有较强的人际沟通、协调能力，具有良好的口头和书面表达能力
8. 主动性强，能够快速学习和适应新业务，有较强的责任心，有团队协作精神",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/9,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=200510062509260821
美团外卖智能配送-资深机器学习专家,外卖配送事业群,北京市,全职,2年,本科,30K-50K,NULL,NULL,NULL,"外卖配送策略组机器学习team【高级机器学习/算法工程师】
岗位职责：
负责外卖配送环节涉及到的策略相关工作，如时间预估、骑手语音识别、外卖配送的知识图谱构建等
这里有海量的数据、强大的计算资源，可以让你的idea变成现实
这里扁平，沟通顺畅，平等各抒己见。
这里是专业的机器学习团队，能够真正学习到机器学习、人工智能是如何在策略工作中发挥巨大作用，而不是简简单单的跑跑数据、列列表格。

工作要求：
（0）工作3年以及以上，对于机器学习领域有丰富项目经验。
（1）对机器学习有比较扎实的基本功，深入了解常用算法原理、应用场景，能够用之解决问题
（2）良好的数据结构和算法基础，具有较强编码能力
（3）对数据敏感，逻辑思维清晰，能够很好的理解业务需求，根据要求建立模型
（4）熟悉了解python常用的算法库，sklearn、keras、numpy、pandas等。
（5）对深度学习、增强学习有经验者优先，对spark、hadoop熟悉者优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=178380649358606415
美团出行-商业分析师（战略方向）,美团出行,北京市,全职,5年,本科,18K-25K,NULL,NULL,NULL,"岗位职责：
1、组织对目标行业、领域的调研和分析，并输出分析报告；
2.  根据自身情况和市场情况，提出业务规划和发展策略；
3.  通过系统性的方法推动策略的实施，并检验策略效果；
4、支持高层管理进行各种相关专题分析；
5. 根据业务需要组织、参与跨职能、跨区域的合作。
任职要求：
1、具有3年以上商业分析、战略咨询、行业分析或者相关经验；
2、拥有敏锐的商业嗅觉，可以对千变万化的问题提出解决方案；
3、具备优秀的组织协调能力、沟通能力和团队协作能力；
4、自驱力较强，能承受较强的工作压力；
5.、能够主动发现问题并解决问题。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=234297433712562005
技术平台-数据仓库开发,金融服务平台,北京市,全职,2年,本科,20K-45K,计算机相关专业本科以上学历,NULL,NULL,"工作职责：
-构建美团点评金融数据仓库（分层建设、主题模型、元数据管理、性能和效率优化）；
-金融相关BI系统建设，规划并带领小伙伴试错、成长，做离业务最近的数据BI系统；
-金融数据仓库OLAP体系搭建，建设TB级高效在线分析应用；
-金融数据日常需求开发，与分析师、PM、OP一起感知变化，实现高效的数据运营；
-调研和实践热门数据仓库组件和技术（kylin、spark、storm、实时数仓......）；
-指导初级数据工程师的工作。
职位要求：
-计算机相关专业本科以上学历；
-熟悉数据仓库建设方法论，包括但不限于：
-分层（ODS、base、fact、topic、cube）建设方法；
-主题建设方法，能独立抽象主题、建设模型、物理化并调整效率和性能；
-常用的BI系统建设方法，熟练使用主流BI工具，理解其实现原理、使用什么技术解决什么问题；
-熟练掌握 SQL，理解 Hive/MySQL/Oracle 原理和调优方法，有独立处理大规模数据/日志的经历；
-有两年以上数据仓库(DW) / 商业智能(BI) / 数据统计相关工作经验；
-熟练掌握 Java / Python / PHP 中至少一种编程语言；
-优先：有支付系统、财务系统、金融系统、风控安全研发经验者；
-优先：有新人导师、团队管理经验者。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=8903
高级算法/机器学习,金融服务平台,北京市,全职,2年,硕士,25K-45K,NULL,NULL,NULL,"职位描述： 
1.运用算法支撑和优化金融事业群的产品和运营方案（比如预测用户价值和转化、提升营销活动的ROI、动态策略的设计和实现） 
2.进行基于分布式平台的数据挖掘系统建设，包括离线流程、机器学习模型、在线服务等 
 
职位要求： 
1.拥有统计学、数据挖掘（机器学习）等领域的相关基础知识 
2.熟练掌握至少一种编程语言（最好是Java），并能够快速自学其他编程语言 
3.熟悉Linux系统，至少能掌握基本的Linux操作 
4.具备优秀的逻辑思维能力，善于分析问题、解决问题 
5.具备良好的沟通能力：理解他人的意图，让他人理解你的意图

加分项： 
1.思维敏捷，动手能力强；责任心强，荣誉感强；自我驱动，乐于学习与分享。 
2.熟悉Hadoop/Hive/Spark平台，有实际使用经验 
3.做过实际的数据挖掘/机器学习项目（如预测、排序类问题），清楚项目流程，产出有价值的结果 
4.精通机器学习的常用模型和算法，能够在大数据平台上进行开发实现，或者灵活使用、有效调参
5.一年以上的算法岗位工作经验
 
其它说明：
1.欢迎算法岗位的同学加入金融BG的算法岗。
2.如果你是非算法岗位的同学，对算法感兴趣，希望改变方向，我们同样欢迎。在这里，你会得到体系化的算法岗位的能力培养和锻炼，体验到算法在业务中发挥重要作用、提升指标的成就感！
3.目前算法组已经对接了支付、小贷、保险等多个业务线，实现了多个算法服务，大幅提升了业务指标，为金融事业群节约了数亿元的资金，未来的业务范围还将不断扩展。期待你的加入！",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232025751847488721
闪付业务-数据产品经理,金融服务平台,北京市,全职,3年,本科,25K-50K,统招本科以上学历，计算机、统计学、数学或相关专业,NULL,NULL,"工作职责：
-对接业务数据需求，保证及时、准确交付；
-搭建业务指标体系和分析体系，并不断完善；
-梳理业务数据需求，整合内外数据资源，提炼、设计数据产品原型，通过维度查询和可视化设计，支持产品、运营等业务决策；
-保持与业务的持续沟通，并根据业务发展快速迭代数据产品。
职位要求：
-统招本科以上学历，计算机、统计学、数学或相关专业，三年或以上互联网行业数据分析和数据产品相关经验；
-对数据和业务敏感，熟悉SQL查询，了解BI、DW原理，主导或参与BI相关项目，以及数据仓库的构建和实施；
-优秀的逻辑思维能力，沟通能力和组织协调能力；
-优秀的交互设计能力和数据可视化设计能力；
-对新事物有极大的学习热情和学习能力，高度的工作热情和强烈的结果导向。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=186285743672573978
数据挖掘算法-金融服务平台,金融服务平台,北京市,全职,2年,硕士,25K-50K,计算机、数学等专业,NULL,NULL,"-硕士及以上学历，计算机、数学等专业；
-熟练掌握一门编程语言（C/C++/Java）和一种脚本语言（Shell/Perl/Python）；
-熟悉数据挖掘和机器学习常见算法；
-有自然语言处理或语音处理经验；
-有深度学习研发相关经验者优先；
-有机器学习国内外竞赛获奖经历者优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=226167776029230080
数据库开发工程师（应届生）,金融服务平台,上海市,全职,不限,本科,12K-18K,NULL,NULL,NULL,"岗位职责：
1.参与金融业务数据仓库的基础架构设计及ETL开发，参与开发金融大数据分析系统、BI系统及数据产品，助力数据商业价值的发掘。
2.对海量数据整合分析，挖掘产品及潜在数据信息，参与商业分析决策的过程，为各类应用提供完善的数据支持。

职位要求：
1.对数据敏感，有较强的逻辑分析能力，善于分析、归纳、解决问题。
2.熟练使用至少一门编程语言Sql/Java/Python/C++，并有相关实践经验。
3.具有海量数据加工处理相关经验，熟悉数据仓库、数据分析、机器学习理论者优先。
4.熟悉Spring/SpringMVC/MyBatis等框架，具有Hive/Storm/Spark等开发经验者优先。
5.良好的语言沟通与表达能力，较强的自我驱动力。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=234179845328523125
数据产品经理-金融服务平台,金融服务平台,"北京市,上海市",全职,3年,本科,15K-30K,NULL,NULL,NULL,"-3年以上互联网产品或数据产品相关经验；
-熟悉数据仓库技术、对数据生产流程和数据库有深入的理解；
-参与或主导过大型数据体系或报表体系的搭建，有较好的业务抽象能力和系统设计能力；
-熟练使用Axure等产品设计工具、SQL语言等数据提取工具；
-良好的业务理解和沟通能力；做事积极主动，有较好的自主学习能力；
-熟悉Hadoop和Spark、有数据后台工作经验优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=226165090345075699
数据开发高级工程师/技术专家,零售事业部,北京市,全职,3年,本科,20K-50K,NULL,NULL,NULL,"工作职责
理解业务的本质需求，设计和构建对应业务的数据集市，负责ETL流程的开发和优化工作，完成结构层次合理、灵活可扩展的数据集市
和数据产品经理一起，解决业务数据分析、数据报表、数据异常相关的技术问题
设计和开发数据产品和工具，系统化、自助化地提高业务分析效率
任职要求
     1、精通Java编程语言，并熟悉Scala、Python、Shell等一门以上脚本语言；
     2、掌握数据仓库(DW)/OLAP/商业智能(BI)/数据统计理论，并灵活的应用；
     3、了解HADOOP大数据平台架构，熟悉HDFS/HBase/Hive/MapReduce，熟练掌握Mapreduce程序开发；
     4、有flume/kafka/storm等开发、运维经验；
     5、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力；
     6、具有高度的责任感，工作认真、踏实。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=178386114079539206
数据仓库高级工程师/技术专家,零售事业部,北京市,全职,2年,本科,20K-50K,NULL,NULL,NULL,"工作职责
理解业务的本质需求，设计和构建对应业务的数据集市，负责ETL流程的开发和优化工作，完成结构层次合理、灵活可扩展的数据集市
和数据产品经理一起，解决业务数据分析、数据报表、数据异常相关的技术问题
设计和开发数据产品和工具，系统化、自助化地提高业务分析效率
任职要求
     1、精通Java编程语言，并熟悉Scala、Python、Shell等一门以上脚本语言；
     2、掌握数据仓库(DW)/OLAP/商业智能(BI)/数据统计理论，并灵活的应用；
     3、了解HADOOP大数据平台架构，熟悉HDFS/HBase/Hive/MapReduce，熟练掌握Mapreduce程序开发；
     4、有flume/kafka/storm等开发、运维经验；
     5、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力；
     6、具有高度的责任感，工作认真、踏实。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2017/11/8,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=180850202772684900
