职位名称,工作地点,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司规模,公司主页,发布日期
机械工程师,北京-昌平,不限                        ,大专,5000-8000元,计算机/网络/通信,20人,"餐补,房补,交通补助,话补,养老保险,医疗保险,带薪年假,加班补助,做五休二,年底双薪,员工体检","随着全行业的深入IT化以及智慧城市建设浪潮的兴起，银行、金融机构、国企定向','：云计算运维、大数据/JAVA开发工程师及定岗生福利待遇：1、签订正式劳动合同，享受国家规定的保险及福利待遇；2、双休，朝九晚六浮动性上班制，年底双薪；3、入职起薪不低于9万元/年以上，保障工作满一年后，年薪“”不低于12万元；岗位要求：1、大专及以上学历，专业不限，有志于在IT行业发展；2、应往届大学毕业生或想转行者都可申请，相关专业优先，如：计算机、网络、机械、电子、建筑、自动化、应用数学等。3.通过面试者参加岗前项目实训，并愿意在北京工作一年以上（特殊情况可协调处理），一年后要求回当地工作的，可协调企业重新安置到原籍省会城市工作。备注：由于面试人员较多，有意向者请咨询','经理！",北京蓝色曙光信息技术有限公司,计算机/网络/通信,500-999人,http://www.ganji.com/gongsi/105161168/,2018/1/3
网店运营,石家庄-NULL,1-3年,大专,8000-12000元,广告/会展,1人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,做五休二","岗位职责:公司优势：1、最有诱惑力的薪资：8000-10000元！！！2、最舒适的办公氛围：现代感的办公空间；小伙伴间和谐融洽，互帮互助，亲如一家，公司不定期举行员工旅游、聚餐、生日会、年会等各类娱乐活动等（劳逸结合，才能更好的赚钱）。3、最正规的工作保障：8小时工作制、2小时/周的团队成长时间、三险/五险的福利保障、每年节日丰厚礼品、大小周休、国家法定节假日让我们的工作和生活更加快乐！4、最公平的晋升机制：团队管理人员全部采用内部培养，主管、经理、总监、副总……只要你想，你就可以！5、最有成长的工作：岗前培训、入职专业培训、技能提升培训、晋升培训……学习是对自己未来最好的投资！6、强大的平台：使用国内领先的微信开发服务商“微盟”，集软件开发、电商平台、广告营销、金融服务、资本投资、大数据平台为一体的多元化移动互联网产业，以“软件+平台”双引擎策略为核心，带动上下游产业链发展，进而打造健康和谐的移动互联网生态圈。可帮企业实现线上线下互通（O2O），社会化关系管理（SCRM）,移动电商，轻应用（lightapp）,WMAPP等多层面的业务开发要求：性别：男；大专及以上学历；有天猫、京东等电商运营3年及以上经验者；工作内容：1、布置设计商城官网2、监控订单经营情况3、制定各种活动4、分析客户需求,主动了解市场发展动向，并对客户提出合理化建议，以及解决方案5、设计各类详情页面等",石家庄柒木广告有限公司,广告/会展,20-99人,http://www.ganji.com/gongsi/105640305/,2018/1/3
淘宝客服,石家庄-桥西,不限                        ,大专,3000-5000元,计算机/网络/通信,2人,"养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二,年底双薪","岗位职责：1、配合运营团队.2、把概念性的理念转化成有视觉冲击的效果，精通页面及图文内容的优化；3、了解用户的浏览习惯和偏好，从视觉角度不断优化和提高用户体验；4、配合策划推广团队划制作推广图片和页面，配合店铺销售活动,美化修改产品页面。任职资格：1、具有一定的电脑平面设计能力，熟练使用PS、AI等设计软件者优先2、具有良好的美术基础和创意构思能力，有较强视觉效果表现能力3、有无经验均可，无经验入职有专人带，但要对it感兴趣。公司福利1、五险一金、过节礼物、定期部门活动2、双休+法定节假日正常放假、7小时工作制、带薪年假、婚假等3、薪资组成:底薪+月度绩效奖金+年度奖金",北京亨隆伟业信息咨询有限责任公司,计算机/网络/通信,100-499人,http://www.ganji.com/gongsi/105123264/,2018/1/3
通信技术工程师,石家庄-裕华,不限,大专,5000-8000元,教育/培训,5人,"包吃,包住,餐补,房补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检",一、岗位职责:1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；2、参与软件质量管理，负责保障代码质量，软件项目的持续优化、改进工作；3、参与技术难题攻关、组织技术积累、分析并解决软件开发过程中的问题；4、配合项目经理完成相关任务目标。二、岗位要求：1、大专以上学历，有计算机语言者优先(C语言、C++、C#、JAVA、.Net、PHP等一种即可)；2、计算机（应用、网络、科学技术）、软件工程、电子信息、机械、自动化等相关专业；3、学习能力强，喜欢研究新技术，良好的沟通能力及团队合作精神，责任心强；4、可接收签三方协议的实习生。三、职业规划：?1、技术型发展计划：软件开发工程师——领队/系统分析——系统架构设计——技术领导——首席技术官（CTO）?2、管理型发展计划：软件开发工程师——领队/系统分析——项目经理/领域专家——高级项目经理——项目负责人四、相关待遇：1、薪资待遇：按进入的项目组及负责的相关模块不同，在4500—9000元/月不等，并享有项目津贴及年终奖等相应奖金。2、工作时间：周一至周五，9:00——18:00，休息日均按国家法定假日施行。3、享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等）；4、公司福利：餐费补贴、通讯补贴、电脑补贴、专业培训、节日福利等。,宏林云创（北京）科技有限公司,教育/培训,100-499人,http://www.ganji.com/gongsi/105642077/,2018/1/3
市场专员/经理,石家庄-NULL,不限,大专,3000-5000元,教育/培训,1人,[],"了解、分析、反馈市场竞争情况,协助区域负责人完成市场计划，要求懂电脑设计做好，儿童相关服务经验者优先。",裕华区七田教育软件开发中心,教育/培训,500-999人,http://www.ganji.com/gongsi/106258788/,2018/1/3
后勤,石家庄-鹿泉,不限                        ,不限,2000-3000元,教育/培训,2人,"包住,餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,加班补助,员工体检",岗位职责：前台职位描述1、管理公司网络、邮箱；2、负责日常办公用品采购、发放、登记管理，办公室设备管理；3、员工考勤系统维护、考勤统计及外出人员管理4、保证前台所需物资的充足（如水、纸、设备、耗材及报销单据表格等）及费用结算。5、接打电话、维护客户任职资格：1、一年以上相关工作经验；3、熟悉办公室行政管理知识及工作流程，熟练运用OFFICE等办公软件；4、工作仔细认真、责任心强、为人正直，具备较强的书面和口头表达能力；5、具有亲和力年龄在20-35岁，女性。,裕华区七田教育软件开发中心,教育/培训,500-999人,http://www.ganji.com/gongsi/106258788/,2018/1/3
普工/学徒工,沈阳-和平,不限,不限,2000-3000元,生产/制造,10人,"包吃,养老保险,医疗保险,工伤保险,失业保险,生育保险",岗位职责：1、按要求的工艺进行操作；2、熟练使用工具对零件等设备进行处理；3、对生产线上的设备进行维修或保养。任职资格：1、无经验者可免费培训上岗；2、具有一定机械常识和制图方面的知识；4、能正确执行安全操作规程；5、工作认真负责，吃苦耐劳及服从安排。6、试用期后签正规劳动合同上保险,沈阳新开元条码数据有限公司,生产/制造,20-99人,http://www.ganji.com/gongsi/105695050/,2017/10/12
销售总经理/总监,沈阳-于洪,不限,不限,5000-8000元,美容美发,1人,"餐补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,年底双薪,员工体检",岗位职责:1.协助公司总裁及董事会进行公司发展战略制定2.进行公司阶段性目标的制定及完成3.负责公司运营团队的建立和管理4.负责公司品牌项目的招商拓展5.完成上级领导交代的其他任务任职资格:1.男女不限，25-38岁，三年及以上工作经验2.能独立协调及带领运营队伍，工作认真负责3.性格开朗，吃苦耐劳，语言表达能力强4.有良好的沟通能力和亲和力，独立性强工作时间:早8：45-17:30（周日休息），法定节假日正常休息待遇及福利：1.无责任底薪2800-6500（量力加薪）2.区域开发管理奖金上不封顶3%-8%3.团队管理佣金4.综合薪资5000-12000元5.每年两次以上国内旅游机会6.每年多次企业领袖培训大会7.公司副总裁后备人选8.带薪年假及五险一金9.带薪职业技能培训,沈阳欧颂国际美容管理咨询有限公司,美容美发,100-499人,http://www.ganji.com/gongsi/106024668/,2017/1/2
店铺运营,沈阳-NULL,不限,不限,面议,耐用消费品(服...,1人,[],"岗位职责：1、组建销售团队，制定本部门高效专业化工作流程，负责统筹规划营销部门岗位工作职责及岗位制度。2、协调本部门团队内部与其他部门的业务关系，确保各项工作畅通进行。3、规划营销年度销售计划及促销活动计划及品牌推广策划、销售目标分解到个人，工作任务及时下达，监控目标达成情况，及时调整掌握目标达成率。4、调研市场区域发展情况，分析市场潜力，发展跟踪市场变化做出相应调整，协助公司上级制定后期战略计划，提出合理化建议及方案。5、合理控制成本费用，准确把握预算费用与实际费用的差异，审核各项报销票据及借支。6、负责本部门销售业绩制定，各销售业务绩效评估，做好业务指导与培训工作，梯队','的选拔与培养。7、完成上级领导安排的其他工作任务。任职条件：1、性别不限，年龄在28-40周岁，市场营销管理、企业管理等相关专业专科以上。2、有女装市场管理经验二年以上。3、具有丰富的团队管理经验，多种营销方案实操经验。4、思维逻辑缜密，全盘运营思路，顾全大局，执行力强。5、对女装类目、品类及商品结构了解，熟知女装市场环境。6、有女装行业资源丰富，有老客户关系及市场区域的维护。7、办公软件的使用及相关软件操作经验。",沈阳挑剔时装有限公司,耐用消费品(服...,500-999人,http://www.ganji.com/gongsi/106485413/,2017/12/17
保安,石家庄-NULL,不限,不限,面议,贸易/交通/运...,15人,"包吃,包住,养老保险,医疗保险,工伤保险,失业保险,生育保险",岗位职责：1、疏导员就是负责在高速公路收费站疏导交通，保证车辆通畅运行；安检员就是针对大车进行的超高超载等违法车辆的安全检查；路网监控员负责监控室的调控，监控高速公路路况运行情况。工作地点：户籍所在段高速，根据岗位空缺情况合理分配岗位，尽量就近安排。工作时间：倒班制作业，6小时一个班，一天2个班，上班时间可调整。要求：男性，18-35周岁，身高170cm以上，初中以上学历，无纹身无犯罪记录，退伍军人优先录用。正式上岗薪资待遇：基本工资3400元，其他福利奖金另计200-3000元不等，每月4天公休，五险一金，包吃住。上岗住宿条件：四人宿舍，24小时热水，中央空调，免费wifi，篮球室，乒乓球窒，阅览室，健身房，电视电脑齐全。上下班班车接送，职工提升空间很大，相应的职务津贴也会上涨，升到班长基本工资达到5000，工资每年根据人员的工作态度以及站口工作量来递增，年终奖金3000-5000元。入职以前需准备材料清单：身份证复印件，户口本本人页复印件，毕业证复印件，一寸蓝底照片4张根据户籍所在地区域内就近分配。,河北京坤高速公路开发有限公司,贸易/交通/运...,1000-9999人,http://www.ganji.com/gongsi/106370208/,2018/1/3
物流主管/经理,沈阳-沈河,1-3年,高中,8000-12000元,贸易/交通/运...,10人,[],岗位职责:负责沈阳市沈河区特许网点运营管理任职资格:年龄在20-45岁，有清晰的目标及执行力，充分了解喜来快递的运营模式，并高度认可喜来快递的发展前景，有一定的资金实力，以便完成前期投资期的工作开展。工作时间:早8：00~晚18：00,沈阳市法库县万泰数据录入中心,贸易/交通/运...,20人以下,http://www.ganji.com/gongsi/105938528/,2017/12/27
网络管理员,石家庄-裕华,不限                        ,高中,5000-8000元,教育/培训,6人,"包吃,包住,餐补,房补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检","公司总部位于北京，经过公司不断努力壮大,现已在西安、济南、石家庄分别成立软件项目基地!!!一:职位介绍岗位分别为，JAVA开发工程师、软件测试、WEB前端开发。软件开发实训生，由公司统一定制培养，做为本公司及合作公司项目的储备','。（报名参加学习，就送全新专业开发电脑一台！！！）无专业要求，均可来公司试学3天。二:职位要求1、应往届毕业生，高中及大专以上学历，有志于在IT行业发展，并愿意在北京工作（当地也可以）。2、专业不限，计算机相关专优先，愿意从事IT工作者均可；3、有计算机语言者优先，如：C语言、C++,JAVA，.Net等；三:实训内容与待遇1、在参加实训前，公司会与实训人员签订相关工作协议。2,、实训期为1-4个月，实习期间主要是由项经理传授技术并做项目，涉及开发方向的各个领域,银行，医疗，政府，云计算等,比如：工商银行系统，招商银行结算平台，云端服务器的后台研发，以及企业级数据增值等，以便更快的掌握技术内容与项目经验。3、实训期间补助为1000/月,共发放3个月（此条福利与送电脑二选一）（另参与项目开发补助80-150天），实训结束后由北京总部统一推荐工作，专科月薪4500-5500元起、本科5000-6500元起，第二年起薪高于9000元/月，平均年薪8-15万元或更高。（可签三方协议）四:声明1、实训期间，公司会定期检测学习技术情况，对技术掌握不熟练者，公司会安排项目老师单独辅导。2、公司只是提供一个相对大的完善的平台，帮助更多的愿意从事IT行业的人进入并发展于行业中，成为高薪高技术的新型科技','，同时也需要你付出勤奋的努力，才能更好的掌握技术并完美的发挥用于实践工作当中。公司地址：裕华区槐安东路与谈固大街交口西北角宝翠商务大厦B座20层",宏林云创（北京）科技有限公司,教育/培训,100-499人,http://www.ganji.com/gongsi/105642077/,2018/1/3
销售代表/客户经理,石家庄-桥西,不限                        ,高中,5000-8000元,其它行业,10人,"包住,房补,话补,带薪年假","岗位职责：新房销售1、负责拓展维护客户；2、通过有效沟通了解客户需求,并完成销售业绩；3、做好售后服务；4、定期与合作客户进行沟通，建立良好的长期合作关系。任职资格：1、口齿清晰，普通话流利，语音富有感染力；2、对销售工作有较高的热情；3、具备较强的学习能力和优秀的沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力；5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度，有相关电话销售工作经验者优先。",石家庄祥发房地产开发有限公司,其它行业,100-499人,http://www.ganji.com/gongsi/105371979/,2018/1/3
销售代表/客户经理,沈阳-于洪,不限,初中,3000-5000元,美容美发,3人,"餐补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,年底双薪,员工体检",岗位职责:1.负责协助运营总监渠道的建立和维护2.协助运营总监进行品牌项目的运营和推广3.负责各大、中、小美容院的管理咨询4.协助运营总监完成区域市场的拓展及其规划5.完成上级领导交代的其他任务任职资格:1.男女不限，23-30岁，一年以上经验。2.能服从公司领导安排，协助领导及时完成工作。3.性格开朗，吃苦耐劳，语言表达能力强4.有良好的沟通能力和亲和力，独立性强，能适应偶尔加班。5.能熟练操作office办公软件工作时间:早8：45-17:30（周日休息）法定节假日正常休息待遇及福利：1.无责任底薪2500（量力加薪）2.优秀运营助理奖金3.综合薪资3000-8000元4.每年两次国内旅游机会5.每年多次管理能力特训会6.每季度有一次晋升考核机会7.带薪年假及五险一金,沈阳欧颂国际美容管理咨询有限公司,美容美发,100-499人,http://www.ganji.com/gongsi/106024668/,2017/1/2
业务拓展,石家庄-新华,1-3年                        ,大专,3000-5000元,建筑/装修,2人,"餐补,交通补助,话补,养老保险,医疗保险,工伤保险,带薪年假,员工体检",岗位职责：1、项目开始前的市场调研工作；2、根据市场及企业需求形成可销售的信息产品建议书，完成给客户的说明性资料的编写及制作；3、根据推广工作的需求以及市场的客观要求，设计并不断推出各种促销方案；4、承办所需的各项培训会议与市场推广活动；5、收集分析公司增值服务产品及竞争品的相关信息；6、加强与公司内部的协调，优化与公司外部的合作。任职资格：1、大学专科及以上学历，公共关系、市场营销、企业管理专业优先；2、熟悉影视娱乐行业，做过市场推广，策划和拓展等优先考虑；4、团队合作能力强，有很强的沟通能力；5、具备较强的销售意识以及客户公关能力；6、有强烈的自我管理和时间管理能力，勤奋敬业，吃苦耐劳。,石家庄市钜石梁成房地产开发有限公司,建筑/装修,20-99人,http://www.ganji.com/gongsi/105272219/,2018/1/3
内容/新媒体运营,沈阳-NULL,不限,大专,5000-8000元,快速消费品(食...,2人,[],岗位职责：1、负责百度、360、腾讯智汇推、广点通、今日头条竞价账户的推广工作；2、百度关键词的搜集、整理以及分析关键词的行业价值；3、编写百度广告标题，描述创意以及广告的上架；4、实时关注关键词排名并做出合理的调价，并优选关键词；5、对广告创意效果跟踪和竞价转换，并对每日的消费、流量统计；任职要求：1、熟悉百度竞价后台，熟练使用Excel表格；2、思维敏捷，沟通能力强，对数据变化敏感度高；3、工作强度较大，能承受较大的工作压力；4、有百度、信息流、今日头条竞价投放经验优先；5、具有较高的职业素养和敬业精神，较强的团队合作意识；加入韵奢丽人，您将享有：1、薪酬构成：无责任底薪+全勤奖+奖金；2、工作环境舒适，紧邻地铁站，交通便利；3、提供下午水果餐；4、定期员工活动；薪资待遇6000-8000元，详情面谈！韵奢丽人，欢迎您的加入！工作地址：沈阳沈河区市府广场卓展商场对面天玺大厦D座23层2310室,沈阳韵奢丽人化妆品有限公司,快速消费品(食...,20-99人,http://www.ganji.com/gongsi/106281580/,2018/1/3
客服专员/助理,沈阳-沈河,1年以内,大专,3000-5000元,计算机/网络/通信,2人,"养老保险,医疗保险,失业保险,生育保险","岗位职责：','\n1.处理日常客户订单情况并及时汇报','\n2.负责与仓库对接，合理安排发货任务','\n3.统计销售及回款数据，及时上报领导','\n4.完成上级交给的其它事务性工作','\n岗位要求：','\n1.18~30岁，中专以上学历，有一年客服工作经验','\n2.声音甜美，普通话清晰流利','\n3.具有良好的逻辑思维能力和沟通技巧，灵活性强','\n4.具有良好的服务意识，有较好的情绪管控能力和抗压能力','\n5.身体健康，品行端正，无不良嗜好",辽宁智群晟信息科技有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/106545010/,2017/11/25
软件工程师,北京-NULL,不限                        ,大专,8000-12000元,计算机/网络/通信,6人,"包住,房补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检","一、培训课程介绍：Java软件开发、移动全栈开发、WEB前端开发、互联网金融软件、软件测试、H5、PHP等。实训时长根据个人接受能力而定，一般时长是1个月到3个月不等项目实训前签定就业保证协议，确保100%就业，明确年薪待遇，由6年以上软件开发经验的项目经理带领参加真实商业项目开发实训。二：学习费用：培训费用可以申请工作后承担付款，工作薪资满意后承担，不工作不承担。三、适合人群：1、应往届大专及以上学历，有较强的学习能力、语言沟通能力；专业不限，对IT软件行业发展看好。希望转型到高薪职位的IT从业人员；或在销售、文职、财务、管理、建筑、采购及预算等领域工作多年，想进入软件开发行业的从业者；2、毕业后，没有机会进入理想行业的大学生，特别是：计算机(网络)、信息管理、经济管理、电子技术、工商管理、财务金融、工业工程、自动化、物流供应、自动化、电子商务、机械类、应用数学、法律等相关专业；3、有计算机语言基础者优先，如：C语言、Java、.Net、Php等；4、可接受入职前项目技能实训，项目实训期间无任何费用。四、课程目标1、达成企业岗位要求，直接上岗工作。2、相关软件语言及框架精通，根据企业项目经理要求，独立完成所负责的工作。五、就业前景1、项目实训结束，项目考核合格后由人事部签订正式劳动合同（可签三方协议）、办理组织关系迁转、享受国家规定保险福利待遇（五险一金、带薪年假、各项补助等），部分岗位可转京籍。2、入职第一个月专科月薪6500元起、本科7000元起，研究生9000+元起，第二年起薪高于9000元/月，平均年薪8-20万元。3、合作企业：国家电网、航天信息、IBM、埃森哲等200家企业,岗位分别有项目经理、系统管理员、系统分析师、Java软件开发工程师、安卓软件工程师、JavaWeb开发工程师、软件测试工程师、数据库工程师、云计算工程师、Web前端工程师因工作繁忙，咨询问题在','内的请勿重复提问，感谢合作。",因特驰软件（北京）有限公司,计算机/网络/通信,100-499人,http://www.ganji.com/gongsi/105492795/?postUser=572788921,2018/1/3
教师,石家庄-鹿泉,不限,大专,2000-3000元,教育/培训,3人,"包住,餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,加班补助,员工体检","幼儿教师:3名，任职要求:1、教育学、心理学相关专业优先，教师职位需大专或大专以上学历。2、有音乐，舞蹈，美术等特长者优先，3、有爱心，责任心，爱孩子个性活泼外向有亲和力，4、熟悉少儿心理，能够调动气氛，受孩子们欢迎。工资待遇：底薪+提成+课时费+满勤+工龄工资+年底旅游+年底奖金等,转正后择优送北京总部培训,入保险。短期勿扰！",裕华区七田教育软件开发中心,教育/培训,500-999人,http://www.ganji.com/gongsi/106258788/,2018/1/3
销售主管/经理,沈阳-和平,不限,不限,8000-12000元,其它行业,10人,"包吃,包住,餐补",了解网络直播平台并热爱娱乐文化行业。要求:了解直播平台管理规定以及行业发展需要沟通能力好，责任心强，管理经验熟悉掌握WD表格打印机等办公软件从事主播，场控，直播管理，平台运营等职务一年相关工作经验工作内容:主播日常跟进，培训，管理，引导，推荐。收集整理主播数据，评估，分析，制定主播发展路线薪资待遇：薪资:2500+高额提成+车补+年终分红待遇:双休+五险+带薪旅游+午餐,深圳市星艺人文化传媒有限公司沈阳分公司,其它行业,20-99人,http://www.ganji.com/gongsi/105511347/,2018/1/3
机电工程师,石家庄-桥西,不限                        ,大专,5000-8000元,计算机/网络/通信,12人,"房补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,加班补助,做五休二",任职要求1、专业不限，有无经验均可，热爱互联网工作，有一定的逻辑思维2、有无基础都可以，对软件开发有一定的兴趣，愿意往VR虚拟现实方向发展3、有责任心、细致，有耐心，具有良好的团队合作意识行业前瞻VR技术是计算机最前沿的技术，VR应用于建筑医疗军事游戏视频娱乐旅游教育等多个领域，VR生成建筑样板间方便了购房者看房，同时为开发商节约了看房时间和成本，VR在医疗上通过局部解剖技术可以提高学习效率和手术成功率，VR根据客户需求做出别样的室内设计，VR在旅游上让我们大饱眼福......职位要求在VR工程师的带领下，完成VR游戏的开发薪资正式工作以后，起薪5千到8千，一般情况下不低于5千，从事VR技术开发工作半年，平均薪资8千以上,河北鼎方科技有限公司,计算机/网络/通信,20-99人,http://www.ganji.com/gongsi/105120745/,2018/1/3
行政主管/经理,石家庄-桥西,不限,不限,3000-5000元,其它行业,2人,"餐补,话补,年底双薪",岗位职责：1、负责公司行政人事相关工作；2、制度流程建设、各类会议活动组织、办公环境管理、公司各类采购统筹；3、行政管理体系搭建、大型年会及重要活动组织；4、新员工入职、培训，档案管理；5、负责固定资产台账审核、组织固定资产盘点工作。任职资格：1、专科以上学历，企业人事或行政工作经验一年以上；2、培训讲师、保险、房地产行业经验优先；3、开朗富有激情，较强的责任心和敬业精神，良好的组织协调能力及沟通能力，较强的分析、解决问题能力；4、熟练使用办公软件和办公自动化设备。,石家庄祥发房地产开发有限公司,其它行业,100-499人,http://www.ganji.com/gongsi/105371979/,2018/1/3
数据/移动通信工程师,沈阳-NULL,不限                        ,大专,3000-5000元,计算机/网络/通信,2人,"餐补,养老保险,医疗保险,生育保险,住房公积金,带薪年假,年底双薪,员工体检",岗位条件：1.熟悉基本的办公软件的操作，专业不限，理工科优先录用2.对IT互联网行业感兴趣，有经验者优先录用，没有经验可带薪实习3.想获得一份有长远发展、稳定、有晋升空间的工作；4.学习能力强，工作热情高，富有责任感，工作认真、细致、敬业，责任心强；5.本岗位欢迎优秀应往届毕业生前来应聘。应聘要求：1.大专及以上学历，专业不限，计算机基本操作熟练2.态度端正，学习能力强，有一定的自我要求，沟通能力强3.致力于从事IT互联网行业五险一金，午餐补助，法定节假日休息，定期旅游。,沈阳集才科技有限公司,计算机/网络/通信,500-999人,http://www.ganji.com/gongsi/105199308/,2017/1/1
统计,沈阳-NULL,不限                        ,大专,3000-5000元,计算机/网络/通信,1人,"餐补,养老保险,医疗保险,生育保险,住房公积金,带薪年假,年底双薪,员工体检",岗位条件：1.熟悉基本的办公软件的操作，专业不限，理工科优先录用2.对IT互联网行业感兴趣，有经验者优先录用，没有经验可带薪实习3.想获得一份有长远发展、稳定、有晋升空间的工作；4.学习能力强，工作热情高，富有责任感，工作认真、细致、敬业，责任心强；5.本岗位欢迎优秀应往届毕业生前来应聘。应聘要求：1.大专及以上学历，专业不限，计算机基本操作熟练2.态度端正，学习能力强，有一定的自我要求，沟通能力强3.致力于从事IT互联网行业五险一金，午餐补助，法定节假日休息，定期旅游。,沈阳集才科技有限公司,计算机/网络/通信,500-999人,http://www.ganji.com/gongsi/105199308/,2017/1/1
普工/学徒工,沈阳-和平,不限                        ,不限,2000-3000元,生产/制造,10人,"养老保险,医疗保险,工伤保险,失业保险,生育保险",岗位职责：1、按照车间主管要求，按时按量完成生产任务，完成当日当月生产任务；2、按工艺要求进行生产操作；3、完成领导交办的临时工作。任职资格：1、18周岁以上，高中以上学历；2、无经验者可培训上岗；3、吃苦耐劳，有责任心。4、试用期过后签正规劳动合同上保险,沈阳新开元条码数据有限公司,生产/制造,20-99人,http://www.ganji.com/gongsi/105695050/,2017/10/16
软件工程师,北京-NULL,不限                        ,大专,5000-8000元,计算机/网络/通信,32人,"餐补,房补,交通补助,话补,养老保险,医疗保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检","有1年以上工作经验可直接投递简历，零基础想转行的，可咨询','主管！岗位要求：1、大专及以上学历，专业不限，热爱互联网工作，有一定的逻辑思维；2、有无基础都可以，有志于在IT行业发展；3、学习能力强，工作热情高，富有责任感，在高级设计师的指导下完成工作内容；4、应往届大学毕业生或想转行者都可申请；薪资待遇：1、每周双休，享受企业五险一金等福利待遇；2、第一年工资专科：8000—10000元/月、本科以上：9000—12000元/月；岗位职责：1、基于hadoop生态的大数据存储平台搭建和部署;2、完成日常数据分析查询需求；3、参与大数据分布式应用系统服务器端或客户端软件开发工作",北京蓝色曙光信息技术有限公司,计算机/网络/通信,500-999人,http://www.ganji.com/gongsi/105161168/,2017/10/11
客服专员/助理,沈阳-大东,1-3年,大专,2000-3000元,咨询/管理产业...,1人,"带薪年假,做五休二,年底双薪",岗位职责：1、负责基础数据信息的录入及核对工作；2、对产品及运营数据进行收集、甄选、整理、汇总3、各类数据的分析并提供相关数据报告。4、协助部门经理完成其他工作岗位要求：1、大专及以上学历，对数据敏感；2、具有良好的沟通能力，文档整理能力，逻辑思维能力；3、较强的团队合作精神，严谨的工作态度，积极上进；4、熟练掌握Excel、ppt等办公软件。薪资待遇：2500起+绩效+满勤+奖金+年终奖工作时间：早九晚五点半，周六日双休+国家法定节假日我们的优势：1、雄厚的资本背景，更棒的企业资质2、东北垄断性的产品，更具市场前景3、长久的企业历史，更富企业信誉4、温馨的企业文化，更人性的企业管理5、完善的培训体系，更多的学习机会6、成熟的晋升体系，更公平的发展空间职业规划路线：横向销售岗-------文职岗----------技术岗-------------管理岗纵向普通员工--------部门经理----------分公司负责人------------集团整体运营管,沈阳德信融汇投资管理有限公司,咨询/管理产业...,100-499人,http://www.ganji.com/gongsi/106477244/,2017/1/2
建筑/建造师,北京-昌平,不限                        ,大专,5000-8000元,计算机/网络/通信,20人,"餐补,房补,交通补助,话补,养老保险,医疗保险,住房公积金,带薪年假,加班补助,做五休二,年底双薪,员工体检","随着全行业的深入IT化以及智慧城市建设浪潮的兴起，银行、金融机构、国企定向','：云计算运维、大数据/JAVA开发工程师及定岗生福利待遇：1、签订正式劳动合同，享受国家规定的保险及福利待遇；2、双休，朝九晚六浮动性上班制，年底双薪；3、入职起薪不低于9万元/年以上，保障工作满一年后，年薪“”不低于12万元；岗位要求：1、大专及以上学历，专业不限，有志于在IT行业发展；2、应往届大学毕业生或想转行者都可申请，相关专业优先，如：计算机、网络、机械、电子、建筑、自动化、应用数学等。3.通过面试者参加岗前项目实训，并愿意在北京工作一年以上（特殊情况可协调处理），一年后要求回当地工作的，可协调企业重新安置到原籍省会城市工作。备注：由于面试人员较多，有意向者请咨询','经理！",北京蓝色曙光信息技术有限公司,计算机/网络/通信,500-999人,http://www.ganji.com/gongsi/105161168/,2017/1/2
行政专员/助理,沈阳-大东,不限,大专,3000-5000元,计算机/网络/通信,3人,"餐补,房补,交通补助,话补,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,加班补助,做五休二,年底双薪,员工体检",岗位职责：负责公司软件后台的代码录入工作，不限经验，有计算机基础者优先考虑。任职资格：1、大专及以上学历，理工科优先，年龄20-30周岁；2、工作努力，认真有责任心，频繁跳槽者勿扰。福利待遇：1、正式签订入职合同缴纳五险一金；2、工作时间：8:30-5:00，周末双休，节假日正常休息；3、基本工资3000+项目奖金+补助+年终奖+十三薪；4、公司环境好，定期举办体检、团建等活动；5、工作满一年员工可享受5天带薪年假。,沈阳市海潮科技有限公司,计算机/网络/通信,100-499人,http://www.ganji.com/gongsi/106347790/,2017/12/27
